问题,出现总次数,出现的数据集数量,出现的数据集列表
How many prominent tributary channels can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between natural bare surfaces and natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features can be observed in the upper right part of the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is present in the upper right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
Where are the patchwork fields located relative to the dense natural vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the agricultural field boundaries?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be observed running through the center of the image?,1,1,Landsat30-AU-VQA-train
How many distinct patches of natural terrestrial vegetation can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river corridors can be observed in the right part of the image?,1,1,Landsat30-AU-VQA-train
Which best describes the dominant land cover in this image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the urban area in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated fields and vegetated areas in the image?,1,1,Landsat30-AU-VQA-train
Where is the dense vegetation located relative to the cultivated fields?,1,1,Landsat30-AU-VQA-train
What best describes the spatial relationship between bare surfaces and vegetation in this image?,1,1,Landsat30-AU-VQA-train
How do the lighter patches relate spatially to the surrounding surface in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the environment shown in the image?,4,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the road corridor?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water body and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the main road and the rectangular fields?,1,1,Landsat30-AU-VQA-train
How many major river channels are present in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the natural bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the patchwork fields and the forested areas in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the salt flats and the vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (excluding rivers) can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features can be seen in the upper right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the land and the water body in the image?,1,1,Landsat30-AU-VQA-train
How many distinct stream-like features are visible in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects can be seen scattered throughout the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the natural terrain in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape best describes the main environment in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the cultivated fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct cultivated field patches are visible in the image?,2,1,Landsat30-AU-VQA-train
How many distinct meandering river sections can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is visible in the upper side of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the agricultural plots in the image?,1,1,Landsat30-AU-VQA-train
How many distinct circular irrigated fields can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the rocky ridge and the surrounding bare surfaces?,1,1,Landsat30-AU-VQA-train
How many distinct agricultural plots can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many distinct green circular irrigated field patterns can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the road corridor and the surrounding terrain?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated land and the forest in the image?,1,1,Landsat30-AU-VQA-train
How many distinct winding rivers can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the terrestrial vegetation and the fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated cropland and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
How many open pit mines are visible in the image?,6,1,Landsat30-AU-VQA-train
Which type of land cover dominates the majority of the image?,4,1,Landsat30-AU-VQA-train
How many distinct artificial surfaces (such as buildings or paved areas) can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many major clearings are visible within the forested area?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the areas of natural terrestrial vegetation and bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
How many water bodies (including reservoirs and rivers) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the roads and the cultivated fields in the image?,1,1,Landsat30-AU-VQA-train
How are the erosion patterns situated relative to the river channel in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be observed in the upper part of the image?,1,1,Landsat30-AU-VQA-train
How many distinct cloud patches are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the lake and the cultivated fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between natural bare surface and vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many major road corridors are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the bare surfaces in the image?,3,1,Landsat30-AU-VQA-train
What is the predominant type of land cover shown in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the bottom right part of the image?,2,1,Landsat30-AU-VQA-train
How many distinct river channels can be observed in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the open pit mine and the river?,1,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the centre of the image?,4,1,Landsat30-AU-VQA-train
How many distinct cropland patches are visible in the image?,2,1,Landsat30-AU-VQA-train
How many distinct cropland field sections can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the road corridor?,3,1,Landsat30-AU-VQA-train
How many distinct rectangular fields are visible in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the crop fields?,1,1,Landsat30-AU-VQA-train
How many distinct airports can be seen in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between bare surface and vegetation in the image?,3,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as lakes or rivers) are present in the image?,1,1,Landsat30-AU-VQA-train
Which type of environment is primarily depicted in this image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the stream in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and the water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
Where are the cultivated fields located in relation to the water bodies?,1,1,Landsat30-AU-VQA-train
Where is the small town located in relation to the majority of the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the pond and the cropland fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct fields can be observed in the image?,2,1,Landsat30-AU-VQA-train
What is the predominant landscape visible in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated fields and natural bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover is most dominant in bottom right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cloud shadows and the bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the small ridges and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the natural terrestrial vegetation and the cultivated fields in the image?,2,1,Landsat30-AU-VQA-train
What is the relationship between the roads and the river in the image?,1,1,Landsat30-AU-VQA-train
How many distinct unpaved tracks are visible in the image?,1,1,Landsat30-AU-VQA-train
How many main channels or river-like features can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct complete circular irrigated fields are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the river-like features?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and any river visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the road corridor?,2,1,Landsat30-AU-VQA-train
What is the dominant land cover type visible in the central part of the image?,1,1,Landsat30-AU-VQA-train
How many distinct river branches are visible in the right side of the image?,1,1,Landsat30-AU-VQA-train
How many distinct irrigated circles can be observed in the image?,4,1,Landsat30-AU-VQA-train
What type of landscape is mainly depicted in the image?,1,1,Landsat30-AU-VQA-train
How many water bodies (like dam) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover in the bottom right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the open pit mine and the cultivated cropland?,1,1,Landsat30-AU-VQA-train
How many airports are visible in the image?,7,1,Landsat30-AU-VQA-train
What is the spatial relationship between the croplands and the river in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the bottom left part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the rest of the land cover in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the natural terrestrial vegetation?,3,1,Landsat30-AU-VQA-train
How many distinct areas of forest are visible in the image?,1,1,Landsat30-AU-VQA-train
Where is the island located in relation to the water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between bare ground and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the exposed soil and the rock in the image?,1,1,Landsat30-AU-VQA-train
How many road corridors can be seen crossing the landscape?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water and the artificial surfaces in the image?,1,1,Landsat30-AU-VQA-train
"How many distinct water-related features (such as ocean, sea, or nearshore waters) are visible in the image?",1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies are visible in the top right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the water body in the image?,1,1,Landsat30-AU-VQA-train
How many distinct artificial structures are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct waterbodies are clearly visible in the top right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green fields and the brown fields in the image?,2,1,Landsat30-AU-VQA-train
How many distinct water features can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland and the coastline in the image?,1,1,Landsat30-AU-VQA-train
How many distinct ponds or lakes are visible in the upper half of the image?,1,1,Landsat30-AU-VQA-train
How many distinct river corridors are visible in the image?,5,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated cropland?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the open pit mine and the natural terrestrial vegetation?,3,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban fabric and the sports field?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the terrestrial vegetation and the beaches in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cultivated vegetation and bare ground in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the water body?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the dark green vegetation and the ocean?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the patchwork fields and the natural vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct lakes can be seen in the image?,1,1,Landsat30-AU-VQA-train
How do the river branches relate to the bare surface in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as ponds or reservoirs or river) can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct green cropland field patches are visible in the upper part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the bare surfaces in the image?,2,1,Landsat30-AU-VQA-train
How many distinct boats or ships are visible in the water?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the rectangular fields and the road corridors in the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape best describes the environment shown in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the vegetated surfaces and the bare land in the image?,1,1,Landsat30-AU-VQA-train
How many distinct areas of cloud cover are visible in the image?,1,1,Landsat30-AU-VQA-train
What type of land cover is primarily visible in this image?,1,1,Landsat30-AU-VQA-train
How many islands are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the agricultural fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct valleys can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the road corridor in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the upper right corner of the image?,5,1,Landsat30-AU-VQA-train
Which type of land cover dominates the upper part of the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the green fields and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
Where is the cloud located in relation to the rest of the landscape?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the roads and the cropland in the image?,3,1,Landsat30-AU-VQA-train
How many distinct water features can be seen in the image?,1,1,Landsat30-AU-VQA-train
Which type of scene is most prominently depicted in this image?,1,1,Landsat30-AU-VQA-train
How many distinct river channels are visible in the bottom left part of the image?,1,1,Landsat30-AU-VQA-train
How many distinct clusters of urban fabric (buildings grouped together) can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct golf courses can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many light-colored rectangular structures can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sandy beach and the water body in the image?,1,1,Landsat30-AU-VQA-train
How many distinct complete green irrigated circles are visible in the upper left quadrant of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cultivated terrestrial vegetation and the coastline in the image?,1,1,Landsat30-AU-VQA-train
How many distinct cropland plots can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the primary land cover type shown in this image?,1,1,Landsat30-AU-VQA-train
Which type of landscape best describes the majority of the area in this image?,5,1,Landsat30-AU-VQA-train
What is the spatial relation between the water body and the cropland in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the open water in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the bare surface?,4,1,Landsat30-AU-VQA-train
How many distinct water bodies (ponds or reservoirs) can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the winding river and the coastline in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the buildings and the cropland in the image?,1,1,Landsat30-AU-VQA-train
How many distinct landmasses are visible in the image?,3,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as rivers or ponds) are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is visible in the upper right corner of the image?,1,1,Landsat30-AU-VQA-train
How many distinct rivers or streams can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban area and the water body in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the sandy flat?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the shallow water body and the landmass?,1,1,Landsat30-AU-VQA-train
Which of the following objects can be seen near the top center of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between urban fabric and cropland fields in the image?,1,1,Landsat30-AU-VQA-train
How many distinct areas of artificial surfaces (such as urban fabric or buildings) are visible?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the surrounding land in the image?,2,1,Landsat30-AU-VQA-train
How many distinct road can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare ground and the vegetated area in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road network and the cropland fields?,1,1,Landsat30-AU-VQA-train
How many dry lakes can be observed in the image?,1,1,Landsat30-AU-VQA-train
How many distinct river branches can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and bare surfaces?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare ground and the natural terrestrial vegetation?,2,1,Landsat30-AU-VQA-train
How many large urban areas (city) are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the tributary channels and the bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban fabric and the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridor and the cultivated terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as ponds or rivers) are visible in the bottom left area of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare ground and the vegetated surfaces in the image?,1,1,Landsat30-AU-VQA-train
How many distinct areas of bare surface can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the urban area in the image?,2,1,Landsat30-AU-VQA-train
How many distinct cropland plots can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the access roads and the cultivated fields in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the cultivated plots in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the drainage lines and the bare surface?,1,1,Landsat30-AU-VQA-train
How many major river systems are visible in the image?,1,1,Landsat30-AU-VQA-train
How many bridges crossing the river are visible in the image?,1,1,Landsat30-AU-VQA-train
How many complete circular irrigated fields can be seen in the image?,3,1,Landsat30-AU-VQA-train
What is the predominant land cover type in the central part of the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is present in the centre of the image?,1,1,Landsat30-AU-VQA-train
How many winding trails or paths are clearly visible in the image?,1,1,Landsat30-AU-VQA-train
How many large agricultural fields are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between cultivated fields and dense vegetation in the image?,1,1,Landsat30-AU-VQA-train
How many distinct open pit mine areas are visible in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water body and the islands?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river corridor and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
Which type of scene is primarily depicted in this image?,2,1,Landsat30-AU-VQA-train
How many distinct water channels or streams can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many distinct settlements can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the ocean in the image?,4,1,Landsat30-AU-VQA-train
How many distinct stadium can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the vegetated areas and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible along the edge of the landmass in the image?,1,1,Landsat30-AU-VQA-train
How many distinct urban patches are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the forest in the image?,2,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the upper right corner of the image?,1,1,Landsat30-AU-VQA-train
Where is the artificial surface area located relative to the bare ground in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated fields and the natural vegetation in the image?,4,1,Landsat30-AU-VQA-train
Which of the following objects can be observed along the left edge of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surface and the vegetated area in the image?,1,1,Landsat30-AU-VQA-train
How many open-pit mines are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated cropland and the river in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the river and the cultivated terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct large water bodies (such as lakes) are visible in the upper right corner of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the urban fabric and the surrounding natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
How many major roads can be observed in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover is most prominent in the upper half of the image?,1,1,Landsat30-AU-VQA-train
How many sports fields can be identified in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the lower half of the image?,1,1,Landsat30-AU-VQA-train
How many distinct cities can be identified in the image?,1,1,Landsat30-AU-VQA-train
How many major road corridors can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the small town and the road corridor?,1,1,Landsat30-AU-VQA-train
What is the relationship between the water and the land in the image?,1,1,Landsat30-AU-VQA-train
Where is the circular crater-like depression located relative to the top left corner of the image?,1,1,Landsat30-AU-VQA-train
Where is the city located in relation to the cultivated terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
How many distinct urban areas are visible in the bottom right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the sand or sediment deposits and the natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
What is the dominant type of land cover in the central and lower parts of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cultivated land in the image?,1,1,Landsat30-AU-VQA-train
Which of the following features is clearly visible in the image?,3,1,Landsat30-AU-VQA-train
What is the spatial relationship between the coastline and the dense vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the coastal area in the image?,1,1,Landsat30-AU-VQA-train
How is the bare surface distributed in relation to other land cover types in the image?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (excluding rivers) are visible in the image?,4,1,Landsat30-AU-VQA-train
Which of the following objects is clearly visible in the upper left corner of the image?,1,1,Landsat30-AU-VQA-train
How many meandering rivers can be observed in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surfaces and the natural terrestrial vegetation in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the vegetated areas in the image?,1,1,Landsat30-AU-VQA-train
What type of environment is predominantly shown in the image?,1,1,Landsat30-AU-VQA-train
Where are the cropland fields primarily located in relation to the water body?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the circular irrigated fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cultivated vegetation and the bare surface?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the river and the cultivated cropland?,1,1,Landsat30-AU-VQA-train
How many distinct water patches or bodies are visible in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the roads and the fields in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects is present in the top right part of the image?,1,1,Landsat30-AU-VQA-train
How are the cropland parcels arranged in relation to each other?,1,1,Landsat30-AU-VQA-train
How many rivers or visible water channels are present in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the darker bands and the lighter bare ground?,1,1,Landsat30-AU-VQA-train
What is the dominant land cover type visible in the lower part of the image?,1,1,Landsat30-AU-VQA-train
Which type of landscape dominates the lower right portion of the image?,1,1,Landsat30-AU-VQA-train
How many distinct roads are visible in the upper side of the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is clearly visible in the bottom left area of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the circular road and the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the roads in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the bare surface and the vegetation in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the roads in the image?,1,1,Landsat30-AU-VQA-train
What type of environment is primarily depicted in this image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the water body and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the plots and the bare surface in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom part of the image?,3,1,Landsat30-AU-VQA-train
How many irrigated circles can be seen crossing the patchwork fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the cropland fields and the bare surfaces in the image?,2,1,Landsat30-AU-VQA-train
"What is the spatial relationship between the network of narrow, branching channels and the water body?",1,1,Landsat30-AU-VQA-train
How many distinct water bodies are visible in the left side of the image?,1,1,Landsat30-AU-VQA-train
How many distinct settlement are visible in the lower part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the large rectangular area and the circular irrigated fields?,1,1,Landsat30-AU-VQA-train
"How many distinct land cover zones (ocean, beach, vegetation, bare surface) can be visually identified from left to right?",1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the green fields and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the urban fabric area and the cropland fields?,1,1,Landsat30-AU-VQA-train
How many distinct water bodies (lakes) are visible in the image?,2,1,Landsat30-AU-VQA-train
How many distinct sandy flat areas are visible in the image?,1,1,Landsat30-AU-VQA-train
How many road corridors can be seen crossing the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the right half of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the field boundaries and the cropland fields?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cloud patches and the natural terrestrial vegetation?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the natural bare surface and any river in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road and the natural vegetation in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the cultivated fields?,2,1,Landsat30-AU-VQA-train
How many distinct water bodies (such as rivers or lakes) can be seen in the image?,1,1,Landsat30-AU-VQA-train
What is the relationship between the cropland and the bare surfaces in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the natural bare surfaces?,1,1,Landsat30-AU-VQA-train
Which of the following features is visible winding through the fields in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the natural bare surface and natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the upper side of the image?,3,1,Landsat30-AU-VQA-train
What is the predominant land cover type in this bottom right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road corridor and the natural bare surface in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland and the tidal estuary?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the road and the bare ground in the image?,1,1,Landsat30-AU-VQA-train
Which type of land cover best describes the majority of the scene in the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relationship between the beach and the natural terrestrial vegetation in the image?,1,1,Landsat30-AU-VQA-train
What is the dominant land cover type visible in the center of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between cropland fields and bare soil patches in the image?,1,1,Landsat30-AU-VQA-train
How many distinct rivers or river segments are visible in the image?,1,1,Landsat30-AU-VQA-train
How many distinct wind turbines can be identified in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the bare surfaces and any visible tracks or paths in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the bottom right corner of the image?,5,1,Landsat30-AU-VQA-train
How many distinct water bodies can be observed in the right part of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the cropland fields and the access paths in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relation between the forested land and the urban area in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the road corridors and the urban area in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects from the list is not visible in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible in the lower left corner of the image?,2,1,Landsat30-AU-VQA-train
What is the spatial relation between the vegetation and the river in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the natural vegetation in the image?,3,1,Landsat30-AU-VQA-train
Which of the following objects can be seen in the centre area of the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the forest and the cropland in the image?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the tidal channels and the coastline?,1,1,Landsat30-AU-VQA-train
How many distinct plots of land are visible in the image?,1,1,Landsat30-AU-VQA-train
Which best describes the main land cover in this image?,1,1,Landsat30-AU-VQA-train
How many rivers or creeks are visible in the image?,1,1,Landsat30-AU-VQA-train
Which of the following objects is visible as a thin line crossing the area?,1,1,Landsat30-AU-VQA-train
What is the spatial relationship between the river and the cultivated terrestrial vegetation?,2,1,Landsat30-AU-VQA-train
